suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
full,#201C18,exclusion,16777216,13104030,0,3673186,0,326569,0,208195,0,0.07222139835310676,-0.2407063587876488,0.19043647481273518,0
full,#241B21,1,16777216,0,16777216,0,0,0,0,0,0,-1.8602431708480537e-18,-3.552713678800501e-15,4.440892098500626e-16,0
full,#241B21,1.05,16777216,16763274,27,13915,1646984,216748,0,325529,0,0.22828358661640424,-0.008771637384977105,0.7454602042506586,0
full,#241B21,1.1,16777216,16758728,27,18461,2953456,412517,0,622186,0,0.4415460897924398,-0.016929203006160964,1.422891798661718,0
full,#241B21,1.2,16777216,16751150,27,26039,5029058,752889,0,1142660,0,0.829020213380527,-0.031486979337063126,2.6100382791912775,0
full,#241B21,1.4,16777216,16740291,27,36898,7865866,1281735,0,1965871,0,1.4803465735210621,-0.054977042101568285,4.48578936062245,0
full,#241B21,difference,16777216,610556,0,16166660,0,2649,388712,808,353073,-0.17287213470384072,-0.253747869980103,0.253747869980103,0
full,#241B21,exclusion,16777216,13370631,0,3406585,0,328303,0,199888,0,0.0752236534078716,-0.253747869980103,0.19793690491154603,0
full,#242424,1,16777216,0,16777216,0,0,0,0,0,0,-7.402300335394136e-18,-3.552713678800501e-15,8.881784197001252e-16,0
full,#242424,1.05,16777216,16754490,27,22699,1707993,230445,0,314844,0,0.208109670975871,-0.011577010369709706,0.6871952394607899,0
full,#242424,1.1,16777216,16744850,27,32339,3125297,439134,0,603154,0,0.4024799215043473,-0.022463516441938003,1.311344751362988,0
full,#242424,1.2,16777216,16728553,27,48636,5234040,803096,0,1112765,0,0.7555014468341991,-0.041843615167763026,2.404211789669402,0
full,#242424,1.4,16777216,16706715,27,70474,8162091,1369948,0,1928411,0,1.3484583301262996,-0.07382798271330437,4.127920615528458,0
full,#242424,difference,16777216,1206127,0,15571089,0,13440,516708,2508,443042,-0.21459074892077604,-0.35283908976768164,0.35283908976768164,0
full,#242424,exclusion,16777216,12983887,0,3793329,0,458078,0,256985,0,0.09559665420648007,-0.35283908976768164,0.25161125962092545,0
full,#EEEEEE,1,16777216,0,16777216,0,0,0,0,0,0,-7.613912988419902e-17,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#EEEEEE,1.05,16777216,16673160,27,104029,9014824,701148,15,956600,0,0.7160049106242107,-0.029972616581625644,8.069424514077129,0
full,#EEEEEE,1.1,16777216,16621177,27,156012,11417841,1241051,54,1651487,0,1.2665754373966736,-0.056440931624799795,10.92792307291504,0
full,#EEEEEE,1.2,16777216,16552253,27,224936,13600693,2048868,137,2684705,0,2.1671383293547537,-0.10549166057963255,13.368193501123901,0
full,#EEEEEE,1.4,16777216,16471417,27,305772,15256341,3095841,342,4021305,0,3.5199683100757304,-0.18185219461256263,15.003543374253283,0
full,#EEEEEE,difference,16777216,4784820,0,11992396,0,1922876,8347483,524273,4972166,-2.083136463764839,-17.099852162484677,17.099852162484677,0
full,#EEEEEE,exclusion,16777216,3708203,0,13069013,0,140613,8347483,45,4972166,-2.480453827177995,-17.099852162484677,3.4805813434336814,0
full,#F2F6FA,1,16777216,0,16777216,0,0,0,0,0,0,-8.070549773773675e-17,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#F2F6FA,1.05,16777216,16751988,27,25201,9324706,688948,26,1009665,0,0.8231527160296559,-0.015537357568070398,8.998480091817527,0
full,#F2F6FA,1.1,16777216,16737219,27,39970,11659357,1228021,67,1742928,0,1.4581384946579834,-0.028722191496558303,12.0213530066984,0
full,#F2F6FA,1.2,16777216,16715998,27,61191,13791376,2037024,113,2819075,0,2.50172196175022,-0.053682209473714604,14.554054905804316,0
full,#F2F6FA,1.4,16777216,16688544,27,88645,15359968,3107767,322,4232007,0,4.078750992560853,-0.09457860221737135,16.221887050249947,0
full,#F2F6FA,difference,16777216,4311880,0,12465336,0,1721331,8903578,458429,5463213,-2.4070790308615333,-18.338181491516508,18.338181491516508,0
full,#F2F6FA,exclusion,16777216,3719232,0,13057984,0,504128,8903578,34749,5463213,-2.6572535031459408,-18.338181491516508,6.179091727889439,0
