browser,alpha,medianMs,p10Ms,p90Ms
chrome,0,0.2399999976158142,0.21699999809265136,0.32600000023841874
chrome,0.025,0.24000000357627868,0.21700000166893005,0.2550000011920929
chrome,0.05,0.2399999976158142,0.21000000238418579,0.2550000011920929
chrome,0.075,0.2449999988079071,0.21900000214576723,0.27399999976158146
chrome,0.1,0.24500000476837158,0.21000000238418579,0.34200000405311604
chrome,0.125,0.2449999988079071,0.22199999928474426,0.26299999713897704
chrome,0.15,0.25,0.2199999988079071,0.31900000333786016
chrome,0.175,0.24500000476837158,0.21200000047683715,0.2690000009536744
chrome,0.2,0.24500000476837158,0.21400000095367433,0.3409999990463258
chrome,0.225,0.2449999988079071,0.2199999988079071,0.2549999988079071
chrome,0.25,0.2449999988079071,0.21900000214576723,0.24800000190734864
chrome,0.275,0.24500000476837158,0.23199999928474427,0.2660000014305115
chrome,0.3,0.2449999988079071,0.22199999928474426,0.2700000047683716
chrome,0.325,0.24000000357627868,0.2150000035762787,0.26
chrome,0.35,0.2449999988079071,0.22699999809265137,0.2600000023841858
chrome,0.375,0.24000000357627868,0.215,0.26100000262260437
chrome,0.4,0.2449999988079071,0.21200000047683715,0.2700000023841858
chrome,0.425,0.2449999988079071,0.23200000166893006,0.3280000007152559
chrome,0.45,0.24000000357627868,0.22899999856948855,0.32499999761581433
chrome,0.475,0.24000000357627868,0.21600000143051148,0.34400000095367456
chrome,0.5,0.2399999976158142,0.2200000011920929,0.2609999990463257
chrome,0.525,0.25,0.2259999978542328,0.3089999973773957
chrome,0.55,0.2449999988079071,0.215,0.3910000026226045
chrome,0.575,0.24000000357627868,0.225,0.2769999969005585
chrome,0.6,0.2449999988079071,0.22199999928474426,0.2529999971389771
chrome,0.625,0.24000000357627868,0.2200000011920929,0.2580000019073486
chrome,0.65,0.2449999988079071,0.21200000047683715,0.39700000166893007
chrome,0.675,0.24000000357627868,0.2199999988079071,0.2650000035762787
chrome,0.7,0.2449999988079071,0.21600000143051148,0.27200000166893007
chrome,0.725,0.24000000357627868,0.22299999713897706,0.307999999523163
chrome,0.75,0.2449999988079071,0.215,0.28700000166893014
chrome,0.775,0.2449999988079071,0.22699999809265137,0.3209999990463258
chrome,0.8,0.2449999988079071,0.2300000011920929,0.2609999990463257
chrome,0.825,0.2449999988079071,0.2099999988079071,0.2649999976158142
chrome,0.85,0.24000000357627868,0.21000000238418579,0.4329999959468843
chrome,0.875,0.24000000357627868,0.215,0.2909999990463258
chrome,0.9,0.24000000357627868,0.21700000405311584,0.4189999997615815
chrome,0.925,0.2449999988079071,0.23199999928474427,0.2660000038146973
chrome,0.95,0.2449999988079071,0.21700000166893005,0.2930000007152558
chrome,0.975,0.2449999988079071,0.23499999642372132,0.2580000019073486
chrome,1,0.24500000476837158,0.2199999988079071,0.26299999713897704
chrome,1.025,0.2449999988079071,0.21200000047683715,0.31199999928474426
chrome,1.05,0.2449999988079071,0.21200000286102294,0.3309999990463258
chrome,1.075,0.23500000238418578,0.21700000047683715,0.27399999976158146
chrome,1.1,0.2449999988079071,0.2200000011920929,0.34800000071525583
chrome,1.125,0.2449999988079071,0.21400000095367433,0.2580000019073486
chrome,1.15,0.2449999988079071,0.21199999928474425,0.25799999833106996
chrome,1.175,0.2449999988079071,0.20700000166893004,0.2580000019073486
chrome,1.2,0.2449999988079071,0.2249999976158142,0.2680000019073487
chrome,1.225,0.25,0.2199999988079071,0.3439999997615815
chrome,1.25,0.24000000357627868,0.2149999976158142,0.25300000071525575
chrome,1.275,0.2449999988079071,0.22899999856948855,0.25799999833106996
chrome,1.3,0.2449999988079071,0.2150000035762787,0.2600000023841858
chrome,1.325,0.2399999976158142,0.2199999988079071,0.31700000286102303
chrome,1.35,0.2449999988079071,0.21800000190734864,0.33699999928474444
chrome,1.375,0.2449999988079071,0.22699999809265137,0.27899999737739567
chrome,1.4,0.2449999988079071,0.21700000166893005,0.3310000014305116
chrome,1.425,0.24000000357627868,0.22400000333786013,0.35300000071525595
chrome,1.45,0.2449999988079071,0.22199999928474426,0.2559999978542328
chrome,1.475,0.24000000357627868,0.21000000238418579,0.27299999952316284
chrome,1.5,0.2449999988079071,0.22199999928474426,0.25799999833106996
chrome,1.525,0.2449999988079071,0.22899999856948855,0.29799999833107
chrome,1.55,0.2449999988079071,0.21900000214576723,0.26
chrome,1.575,0.2399999976158142,0.22199999928474426,0.28699999928474434
chrome,1.6,0.2449999988079071,0.2300000011920929,0.2690000009536744
chrome,1.625,0.25,0.23499999642372132,0.26800000071525576
chrome,1.65,0.2399999976158142,0.2099999988079071,0.332999999523163
chrome,1.675,0.24000000357627868,0.21200000047683715,0.29400000095367435
chrome,1.7,0.2449999988079071,0.22700000047683716,0.26
chrome,1.725,0.2399999976158142,0.225,0.27499999880790715
chrome,1.75,0.2449999988079071,0.21200000047683715,0.28900000095367434
chrome,1.775,0.24000000357627868,0.2099999964237213,0.25300000071525575
chrome,1.8,0.2399999976158142,0.215,0.28099999785423285
chrome,1.825,0.24000000357627868,0.22200000286102295,0.3390000033378603
chrome,1.85,0.2449999988079071,0.2199999988079071,0.26
chrome,1.875,0.24500000476837158,0.22900000095367432,0.29200000047683716
chrome,1.9,0.2399999976158142,0.21199999690055846,0.3070000028610231
chrome,1.925,0.24500000476837158,0.2150000035762787,0.32800000190734874
chrome,1.95,0.2449999988079071,0.21400000095367433,0.2659999978542328
chrome,1.975,0.2399999976158142,0.21000000238418579,0.29199999928474435
chrome,2,0.2449999988079071,0.215,0.2550000011920929
firefox,0,0.2,0.2,0.33000000000000007
firefox,0.025,0.2,0.2,0.36000000000000015
firefox,0.05,0.2,0.2,0.33000000000000007
firefox,0.075,0.25,0.2,0.3700000000000003
firefox,0.1,0.2,0.2,0.3
firefox,0.125,0.2,0.2,0.3
firefox,0.15,0.2,0.2,0.2800000000000001
firefox,0.175,0.25,0.2,0.38000000000000006
firefox,0.2,0.25,0.2,0.2800000000000001
firefox,0.225,0.25,0.2,0.39000000000000024
firefox,0.25,0.2,0.15,0.3
firefox,0.275,0.25,0.2,0.25
firefox,0.3,0.25,0.2,0.3
firefox,0.325,0.25,0.2,0.25
firefox,0.35,0.25,0.2,0.3
firefox,0.375,0.2,0.2,0.33000000000000007
firefox,0.4,0.2,0.2,0.25
firefox,0.425,0.2,0.2,0.2800000000000001
firefox,0.45,0.2,0.2,0.3
firefox,0.475,0.25,0.2,0.4
firefox,0.5,0.25,0.2,0.25
firefox,0.525,0.25,0.2,0.3
firefox,0.55,0.25,0.2,0.33000000000000007
firefox,0.575,0.25,0.2,0.2800000000000001
firefox,0.6,0.25,0.2,0.36000000000000015
firefox,0.625,0.25,0.2,0.2800000000000001
firefox,0.65,0.25,0.2,0.33000000000000007
firefox,0.675,0.25,0.2,0.3
firefox,0.7,0.2,0.2,0.2800000000000001
