canvas_group,alpha,source_cases,mean_contrast_gain,contrast_decreased_pct,pair_cases,merged_pairs_pct
Light canvases,0.0,2197000,-3.211392099479095,99.99995448338643,524288,100.0
Light canvases,0.025,2197000,-3.195418451365766,99.99995448338643,524288,2.4408340454101562
Light canvases,0.05,2197000,-3.1788535715714596,99.99995448338643,524288,1.161956787109375
Light canvases,0.075,2197000,-3.1616617180993885,99.99995448338643,524288,0.473785400390625
Light canvases,0.1,2197000,-3.143804086407832,99.99995448338643,524288,0.197601318359375
Light canvases,0.125,2197000,-3.125238464604599,99.99995448338643,524288,0.1010894775390625
Light canvases,0.15,2197000,-3.105918839956075,99.99995448338643,524288,0.06809234619140625
Light canvases,0.175,2197000,-3.0857949483563094,99.99995448338643,524288,0.043487548828125
Light canvases,0.2,2197000,-3.0648117566979556,99.99995448338643,524288,0.029754638671875
Light canvases,0.225,2197000,-3.0429088659771617,99.99995448338643,524288,0.020599365234375
Light canvases,0.25,2197000,-3.0200198203372457,99.99995448338643,524288,0.0156402587890625
Light canvases,0.275,2197000,-2.9960713039643845,99.99995448338643,524288,0.01220703125
Light canvases,0.3,2197000,-2.9709822035986098,99.99995448338643,524288,0.0091552734375
Light canvases,0.325,2197000,-2.9446625091558754,99.99995448338643,524288,0.0072479248046875
Light canvases,0.35,2197000,-2.917012018223226,99.99995448338643,524288,0.0064849853515625
Light canvases,0.375,2197000,-2.8879188015156174,99.99995448338643,524288,0.0030517578125
Light canvases,0.4,2197000,-2.8572573751203283,99.99995448338643,524288,0.00476837158203125
Light canvases,0.425,2197000,-2.824886510604009,99.99995448338643,524288,0.00400543212890625
Light canvases,0.45,2197000,-2.7906465945587575,99.99995448338643,524288,0.002288818359375
Light canvases,0.475,2197000,-2.7543564231331255,99.99995448338643,524288,0.00095367431640625
Light canvases,0.5,2197000,-2.715809281971968,99.99995448338643,524288,0.000762939453125
Light canvases,0.525,2197000,-2.6747681140534687,99.99995448338643,524288,0.0011444091796875
Light canvases,0.55,2197000,-2.6309595116703193,99.99995448338643,524288,0.00171661376953125
Light canvases,0.575,2197000,-2.5840661760220494,99.99995448338643,524288,0.00095367431640625
Light canvases,0.6,2197000,-2.533717356010814,99.99995448338643,524288,0.000762939453125
Light canvases,0.625,2197000,-2.479476587351881,99.99995448338643,524288,0.000762939453125
Light canvases,0.65,2197000,-2.4208257730701113,99.99995448338643,524288,0.0003814697265625
Light canvases,0.675,2197000,-2.357144226626104,99.99995448338643,524288,0.00019073486328125
Light canvases,0.7,2197000,-2.2876806557139,99.99995448338643,524288,0.00019073486328125
Light canvases,0.725,2197000,-2.2115150551432814,99.99995448338643,524288,0.0
Light canvases,0.75,2197000,-2.1275058485113054,99.99995448338643,524288,0.0
Light canvases,0.775,2197000,-2.03421490819009,99.99995448338643,524288,0.0
Light canvases,0.8,2197000,-1.9297984101891235,99.99995448338643,524288,0.0
Light canvases,0.825,2197000,-1.811843084292987,99.99995448338643,524288,0.0
Light canvases,0.85,2197000,-1.6771115863998878,99.99995448338643,524288,0.0
Light canvases,0.875,2197000,-1.5211290874469443,99.99995448338643,524288,0.0
Light canvases,0.9,2197000,-1.3374753797445587,99.99995448338643,524288,0.0
Light canvases,0.925,2197000,-1.116488200189632,99.99995448338643,524288,0.0
Light canvases,0.95,2197000,-0.8426679633367666,99.99995448338643,524288,0.0
Light canvases,0.975,2197000,-0.48880506796229656,99.99995448338643,524288,0.0
Light canvases,1.0,2197000,-6.3690922762893e-17,0.0,524288,0.0
Light canvases,1.025,2197000,0.46016168357779325,0.19531178880291306,524288,0.0
Light canvases,1.05,2197000,0.833869497850828,0.23700500682749204,524288,0.0213623046875
Light canvases,1.075,2197000,1.1685876070894348,0.2730541647701411,524288,0.0568389892578125
Light canvases,1.1,2197000,1.4761923340629075,0.3063268092853892,524288,0.11768341064453125
Light canvases,1.125,2197000,1.7635774549413672,0.33709604005461996,524288,0.20999908447265625
Light canvases,1.15,2197000,2.0333761132143455,0.36604460628129265,524288,0.34236907958984375
Light canvases,1.175,2197000,2.2894861637400377,0.3939007737824306,524288,0.49724578857421875
Light canvases,1.2,2197000,2.5308809687034586,0.41934456076467913,524288,0.681304931640625
Light canvases,1.225,2197000,2.7615458431940336,0.4443786982248521,524288,0.8874893188476562
Light canvases,1.25,2197000,2.982166833853985,0.46868456986800183,524288,1.11083984375
Light canvases,1.275,2197000,3.1922499233458277,0.49208010923987255,524288,1.3607025146484375
Light canvases,1.3,2197000,3.3935317126068356,0.5150204824761038,524288,1.645660400390625
Light canvases,1.325,2197000,3.586684905400239,0.5357760582612654,524288,1.9550323486328125
